customer_id,date,product_category,product_name,unit_price,quantity,total_spend,region,payment_method
CUST-0118,2024-01-02,Stationery,Notebook Set,8.99,2,17.98,North West,Voucher
CUST-0096,2024-01-03,Stationery,Notebook Set,8.99,3,26.97,Midlands,Credit Card
CUST-0053,2024-01-04,Furniture,Footrest,29.99,1,29.99,South East,Debit Card
CUST-0117,2024-01-05,Software,Cloud Storage (1yr),49.99,2,99.98,Wales,Debit Card
CUST-0031,2024-01-07,Electronics,Webcam,49.99,1,49.99,London,Voucher
CUST-0195,2024-01-08,Electronics,USB Hub,24.99,3,74.97,Midlands,Bank Transfer
CUST-0126,2024-01-09,Furniture,Desk Lamp,34.5,1,34.5,London,Credit Card
CUST-0020,2024-01-11,Furniture,Cable Tray,18.99,3,56.97,Yorkshire,Credit Card
CUST-0018,2024-01-14,Furniture,Desk Lamp,34.5,1,34.5,South West,PayPal
CUST-0041,2024-01-14,Software,Antivirus (1yr),29.99,1,29.99,Yorkshire,Debit Card
CUST-0130,2024-01-14,Software,Password Manager,24.99,3,74.97,North West,PayPal
CUST-0008,2024-01-15,Furniture,Desk Lamp,34.5,1,34.5,North West,PayPal
CUST-0060,2024-01-17,Furniture,Desk Lamp,34.5,2,69.0,Scotland,Credit Card
CUST-0115,2024-01-19,Furniture,Footrest,29.99,5,149.95,South West,PayPal
CUST-0181,2024-01-19,Electronics,USB Hub,24.99,2,49.98,North West,Debit Card
CUST-0044,2024-01-20,Stationery,Highlighters,5.99,1,5.99,South West,PayPal
CUST-0054,2024-01-20,Electronics,Webcam,49.99,1,49.99,South West,PayPal
CUST-0172,2024-01-21,Furniture,Desk Lamp,34.5,3,103.5,Midlands,Debit Card
CUST-0084,2024-01-23,Stationery,Sticky Notes,3.49,1,3.49,London,Credit Card
CUST-0095,2024-01-23,Electronics,Keyboard,34.99,1,34.99,Wales,Credit Card
CUST-0200,2024-01-23,Electronics,Webcam,49.99,3,149.97,North West,Credit Card
CUST-0002,2024-01-24,Furniture,Cable Tray,18.99,2,37.98,South East,Bank Transfer
CUST-0046,2024-01-24,Electronics,Monitor Stand,39.99,2,79.98,North West,Debit Card
CUST-0063,2024-01-25,Furniture,Footrest,29.99,1,29.99,Wales,Credit Card
CUST-0033,2024-01-27,Software,PDF Editor,59.99,3,179.97,Midlands,Debit Card
CUST-0064,2024-01-27,Software,Password Manager,24.99,1,24.99,North West,Credit Card
CUST-0098,2024-01-30,Furniture,Ergonomic Chair,189.99,5,949.95,Yorkshire,Credit Card
CUST-0163,2024-01-30,Electronics,Monitor Stand,39.99,1,39.99,Yorkshire,Credit Card
CUST-0080,2024-02-02,Electronics,Webcam,49.99,2,99.98,Wales,Debit Card
CUST-0143,2024-02-02,Software,Password Manager,24.99,5,124.95,London,Credit Card
CUST-0175,2024-02-02,Electronics,USB Hub,24.99,2,49.98,South East,PayPal
CUST-0034,2024-02-03,Stationery,Sticky Notes,3.49,4,13.96,Scotland,Debit Card
CUST-0014,2024-02-04,Stationery,Highlighters,5.99,5,29.95,South East,Credit Card
CUST-0111,2024-02-04,Furniture,Ergonomic Chair,189.99,2,379.98,Midlands,Credit Card
CUST-0190,2024-02-06,Software,Password Manager,24.99,4,99.96,North West,Debit Card
CUST-0011,2024-02-07,Furniture,Footrest,29.99,1,29.99,South West,Credit Card
CUST-0015,2024-02-07,Furniture,Desk Lamp,34.5,10,345.0,Scotland,Credit Card
CUST-0072,2024-02-07,Electronics,Keyboard,34.99,1,34.99,South West,Bank Transfer
CUST-0138,2024-02-07,Software,Password Manager,24.99,1,24.99,North West,Voucher
CUST-0094,2024-02-08,Electronics,Webcam,49.99,3,149.97,Scotland,Debit Card
CUST-0097,2024-02-08,Furniture,Monitor Riser,44.99,1,44.99,Yorkshire,Credit Card
CUST-0199,2024-02-08,Stationery,Highlighters,5.99,2,11.98,Midlands,PayPal
CUST-0184,2024-02-10,Software,VPN Licence,39.99,2,79.98,Wales,Voucher
CUST-0089,2024-02-11,Furniture,Ergonomic Chair,189.99,1,189.99,South East,Credit Card
CUST-0051,2024-02-12,Stationery,Sticky Notes,3.49,1,3.49,South West,Debit Card
CUST-0102,2024-02-12,Furniture,Footrest,29.99,1,29.99,Midlands,Credit Card
CUST-0010,2024-02-14,Software,PDF Editor,59.99,1,59.99,Scotland,Debit Card
CUST-0035,2024-02-16,Furniture,Monitor Riser,44.99,1,44.99,Wales,Debit Card
CUST-0176,2024-02-17,Stationery,Ballpoint Pens,4.99,1,4.99,Scotland,PayPal
CUST-0069,2024-02-18,Furniture,Monitor Riser,44.99,1,44.99,Midlands,Credit Card
CUST-0043,2024-02-19,Electronics,Keyboard,34.99,1,34.99,Midlands,PayPal
CUST-0027,2024-02-20,Stationery,Desk Organiser,19.99,3,59.97,Yorkshire,Debit Card
CUST-0191,2024-02-20,Stationery,Notebook Set,8.99,3,26.97,South East,Debit Card
CUST-0168,2024-02-21,Furniture,Cable Tray,18.99,1,18.99,South East,Credit Card
